word,bFrequency,bWeight,gFrequency,gWeight,start
answered,140,8,0,0,FALSE
going,139,8,0,0,FALSE
left,139,8,1,1,FALSE
death,139,8,22,14,FALSE
right,139,8,23,14,FALSE
believe,139,8,3,2,FALSE
yet,136,8,32,20,FALSE
took,135,8,0,0,FALSE
live,135,8,12,7,FALSE
children,131,7,1,1,FALSE
here,131,7,4,2,FALSE
hand,128,7,3,2,FALSE
sin,128,7,18,11,FALSE
glory,128,7,9,6,FALSE
evil,127,7,12,7,FALSE
each,127,7,3,2,FALSE
any,126,7,20,12,FALSE
written,125,7,0,0,FALSE
want,124,7,0,0,FALSE
grace,123,7,6,4,FALSE
days,122,7,0,0,FALSE
temple,121,7,0,0,FALSE
crowd,121,7,0,0,FALSE
power,121,7,18,11,FALSE
comes,120,7,12,7,FALSE
woman,120,7,0,0,FALSE
coming,118,7,1,1,FALSE
everyone,118,7,0,0,FALSE
brother,116,7,0,0,FALSE
brought,113,6,0,0,FALSE
nothing,113,6,22,14,FALSE
back,111,6,3,2,FALSE
same,111,6,11,7,FALSE
its,110,6,52,32,FALSE
others,109,6,16,10,FALSE
eat,109,6,1,1,FALSE
done,108,6,16,10,FALSE
since,108,6,8,5,FALSE
saying,107,6,2,1,FALSE
city,106,6,1,1,FALSE
words,106,6,6,4,FALSE
angel,105,6,0,0,FALSE
hear,105,6,2,1,FALSE
found,104,6,2,1,FALSE
still,104,6,8,5,FALSE
never,104,6,23,14,FALSE
sins,103,6,5,3,FALSE
get,103,6,1,1,FALSE
until,102,6,1,1,FALSE
servant,102,6,1,1,FALSE
began,101,6,0,0,FALSE
don,100,6,0,0,FALSE
without,100,6,46,29,FALSE
might,99,6,2,1,FALSE
work,99,6,5,3,FALSE
become,98,6,7,4,FALSE
says,98,6,1,1,FALSE
together,97,6,2,1,FALSE
peace,96,5,23,14,FALSE
speak,96,5,7,4,FALSE
gospel,96,5,0,0,FALSE
whole,95,5,15,9,FALSE
could,95,5,1,1,FALSE
such,94,5,22,14,FALSE
being,94,5,19,12,FALSE
mother,93,5,1,1,FALSE
very,93,5,7,4,FALSE
light,93,5,14,9,FALSE
seven,93,5,2,1,FALSE
voice,92,5,1,1,FALSE
blood,92,5,2,1,FALSE
under,90,5,4,2,FALSE
feet,90,5,2,1,FALSE
though,90,5,28,17,FALSE
seen,89,5,9,6,FALSE
prophets,89,5,0,0,FALSE
received,89,5,0,0,FALSE
king,88,5,12,7,FALSE
high,88,5,2,1,FALSE
gentiles,88,5,0,0,FALSE
living,88,5,7,4,FALSE
bring,88,5,5,3,FALSE
yourselves,85,5,0,0,FALSE
much,85,5,3,2,FALSE
three,85,5,9,6,FALSE
pharisees,84,5,0,0,FALSE
moses,84,5,0,0,FALSE
abraham,83,5,0,0,FALSE
priests,83,5,1,1,FALSE
well,83,5,8,5,FALSE
bread,83,5,0,0,FALSE
keep,83,5,3,2,FALSE
ask,83,5,2,1,FALSE
ever,83,5,6,4,FALSE
angels,82,5,2,1,FALSE
heart,82,5,11,7,FALSE
doing,82,5,4,2,FALSE
around,81,5,0,0,FALSE
water,81,5,11,7,FALSE
little,81,5,3,2,FALSE
nor,81,5,38,24,FALSE
righteousness,80,5,4,2,FALSE
hands,80,5,5,3,FALSE
whoever,80,5,0,0,FALSE
hearts,80,5,7,4,FALSE
hope,80,5,2,1,FALSE
church,79,4,0,0,FALSE
simon,78,4,0,0,FALSE
once,78,4,11,7,FALSE
long,78,4,7,4,FALSE
anything,77,4,7,4,FALSE
authority,76,4,0,0,FALSE
priest,76,4,0,0,FALSE
shall,75,4,35,22,FALSE
fell,75,4,0,0,FALSE
raised,75,4,0,0,FALSE
stand,74,4,6,4,FALSE
teaching,74,4,1,1,FALSE
off,73,4,2,1,FALSE
pray,73,4,5,3,FALSE
died,72,4,0,0,FALSE
eyes,72,4,13,8,FALSE
receive,72,4,2,1,FALSE
set,72,4,3,2,FALSE
chief,71,4,2,1,FALSE
fire,71,4,26,16,FALSE
blessed,71,4,2,1,FALSE
look,71,4,6,4,FALSE
teachers,70,4,4,2,FALSE
israel,70,4,0,0,FALSE
send,70,4,2,1,FALSE
stood,69,4,0,0,FALSE
prophet,68,4,0,0,FALSE
find,68,4,8,5,FALSE
sea,68,4,2,1,FALSE
themselves,68,4,13,8,FALSE
taken,68,4,1,1,FALSE
known,68,4,6,4,FALSE
cannot,67,4,11,7,FALSE
show,67,4,1,1,FALSE
full,66,4,10,6,FALSE
drink,66,4,2,1,FALSE
eternal,66,4,39,24,FALSE
wife,65,4,0,0,FALSE
child,65,4,2,1,FALSE
along,65,4,1,1,FALSE
follow,65,4,10,6,FALSE
righteous,64,4,8,5,FALSE
galilee,64,4,0,0,FALSE
judge,64,4,0,0,FALSE
apostles,64,4,0,0,FALSE
became,64,4,1,1,FALSE
enter,63,4,3,2,FALSE
spoke,63,4,4,2,FALSE
joy,63,4,6,4,FALSE
afraid,62,4,1,1,FALSE
standing,62,4,0,0,FALSE
twelve,62,4,1,1,FALSE
pilate,62,4,0,0,FALSE
kill,61,3,9,6,FALSE
near,61,3,1,1,FALSE
last,61,3,8,5,FALSE
head,61,3,2,1,FALSE
testimony,61,3,0,0,FALSE
whose,60,3,34,21,FALSE
judgment,60,3,3,2,FALSE
women,60,3,1,1,FALSE
sabbath,60,3,0,0,FALSE
servants,60,3,1,1,FALSE
lives,60,3,12,7,FALSE
david,59,3,0,0,FALSE
mary,59,3,0,0,FALSE
home,59,3,11,7,FALSE
night,59,3,4,2,FALSE
mercy,59,3,1,1,FALSE
both,59,3,10,6,FALSE
believed,59,3,0,0,FALSE
master,59,3,7,4,FALSE
order,59,3,1,1,FALSE
elders,59,3,0,0,FALSE
TRUE,59,3,7,4,FALSE
dear,59,3,0,0,FALSE
got,58,3,0,0,FALSE
hour,58,3,1,1,FALSE
new,58,3,1,1,FALSE
whatever,58,3,18,11,FALSE
speaking,58,3,0,0,FALSE
town,57,3,0,0,FALSE
understand,57,3,7,4,FALSE
third,57,3,2,1,FALSE
looked,57,3,0,0,FALSE
always,57,3,32,20,FALSE
followed,56,3,2,1,FALSE
someone,56,3,0,0,FALSE
according,56,3,10,6,FALSE
saved,56,3,0,0,FALSE
years,55,3,1,1,FALSE
already,55,3,1,1,FALSE
need,55,3,1,1,FALSE
too,54,3,16,10,FALSE
food,54,3,8,5,FALSE
stone,54,3,2,1,FALSE
healed,54,3,0,0,FALSE
large,54,3,0,0,FALSE
money,54,3,1,1,FALSE
teacher,54,3,1,1,FALSE
honor,54,3,0,0,FALSE
born,53,3,21,13,FALSE
mind,53,3,60,37,FALSE
appeared,53,3,0,0,FALSE
longer,53,3,1,1,FALSE
throne,53,3,1,1,FALSE
kept,53,3,0,0,FALSE
call,52,3,6,4,FALSE
fruit,52,3,15,9,FALSE
happened,52,3,1,1,FALSE
listen,52,3,13,8,FALSE
wisdom,52,3,60,37,FALSE
four,52,3,3,2,FALSE
clothes,51,3,0,0,FALSE
blind,51,3,2,1,FALSE
baptized,50,3,0,0,FALSE
think,50,3,7,4,FALSE
tree,50,3,3,2,FALSE
yourself,50,3,0,0,FALSE
filled,50,3,8,5,FALSE
leave,50,3,1,1,FALSE
seed,50,3,6,4,FALSE
times,50,3,2,1,FALSE
fear,50,3,16,10,FALSE
write,50,3,0,0,FALSE
obey,49,3,0,0,FALSE
able,49,3,1,1,FALSE
loved,49,3,1,1,FALSE
herod,48,3,0,0,FALSE
opened,48,3,1,1,FALSE
mouth,48,3,1,1,FALSE
teach,48,3,2,1,FALSE
fall,48,3,0,0,FALSE
fellow,48,3,0,0,FALSE
having,47,3,25,15,FALSE
command,47,3,1,1,FALSE
something,47,3,0,0,FALSE
demons,47,3,2,1,FALSE
message,47,3,0,0,FALSE
present,47,3,7,4,FALSE
worship,46,3,35,22,FALSE
spoken,46,3,3,2,FALSE
gift,46,3,6,4,FALSE
yes,46,3,0,0,FALSE
sheep,46,3,0,0,FALSE
entered,46,3,0,0,FALSE
help,46,3,8,5,FALSE
five,46,3,5,3,FALSE
darkness,45,3,12,7,FALSE
immediately,45,3,1,1,FALSE
except,45,3,0,0,FALSE
rest,45,3,5,3,FALSE
greater,45,3,3,2,FALSE
synagogue,45,3,0,0,FALSE
reason,45,3,16,10,FALSE
beginning,45,3,16,10,FALSE
die,45,3,3,2,FALSE
saints,45,3,5,3,FALSE
judea,44,3,0,0,FALSE
prison,44,3,0,0,FALSE
named,44,3,1,1,FALSE
preached,44,3,0,0,FALSE
knowledge,44,3,42,26,FALSE
number,44,3,0,0,FALSE
free,44,3,25,15,FALSE
james,43,2,0,0,FALSE
boat,43,2,0,0,FALSE
better,43,2,7,4,FALSE
turn,43,2,2,1,FALSE
face,43,2,2,1,FALSE
outside,43,2,3,2,FALSE
looking,43,2,2,1,FALSE
friends,43,2,3,2,FALSE
news,42,2,0,0,FALSE
sat,42,2,1,1,FALSE
poor,42,2,1,1,FALSE
sons,42,2,12,7,FALSE
myself,42,2,13,8,FALSE
kind,42,2,2,1,FALSE
rather,42,2,1,1,FALSE
woe,42,2,0,0,FALSE
faithful,42,2,1,1,FALSE
sinful,42,2,5,3,FALSE
salvation,42,2,0,0,FALSE
joseph,41,2,0,0,FALSE
husband,41,2,0,0,FALSE
instead,41,2,1,1,FALSE
praise,41,2,2,1,FALSE
turned,41,2,0,0,FALSE
sight,41,2,1,1,FALSE
judas,41,2,0,0,FALSE
else,41,2,7,4,FALSE
hold,41,2,3,2,FALSE
most,41,2,11,7,FALSE
signs,41,2,1,1,FALSE
rich,41,2,2,1,FALSE
tomb,41,2,0,0,FALSE
save,40,2,2,1,FALSE
land,40,2,0,0,FALSE
soon,40,2,1,1,FALSE
neither,40,2,19,12,FALSE
unless,40,2,1,1,FALSE
wine,40,2,0,0,FALSE
open,40,2,3,2,FALSE
killed,40,2,7,4,FALSE
resurrection,40,2,0,0,FALSE
fathers,40,2,6,4,FALSE
beast,40,2,0,0,FALSE
gone,39,2,2,1,FALSE
led,39,2,2,1,FALSE
gives,39,2,3,2,FALSE
sick,39,2,0,0,FALSE
end,39,2,12,7,FALSE
nations,39,2,0,0,FALSE
remain,39,2,6,4,FALSE
nature,39,2,50,31,FALSE
means,38,2,11,7,FALSE
old,38,2,5,3,FALSE
lake,38,2,0,0,FALSE
miraculous,38,2,0,0,FALSE
thanks,38,2,0,0,FALSE
later,38,2,0,0,FALSE
second,38,2,1,1,FALSE
next,38,2,3,2,FALSE
lamb,38,2,0,0,FALSE
ought,38,2,3,2,FALSE
preach,37,2,0,0,FALSE
knows,37,2,18,11,FALSE
knew,37,2,1,1,FALSE
amazed,37,2,1,1,FALSE
worthy,37,2,4,2,FALSE
ground,37,2,0,0,FALSE
revealed,37,2,6,4,FALSE
promised,37,2,0,0,FALSE
ready,37,2,5,3,FALSE
charge,37,2,0,0,FALSE
whether,37,2,13,8,FALSE
returned,36,2,0,0,FALSE
thrown,36,2,0,0,FALSE
devil,36,2,0,0,FALSE
satan,36,2,0,0,FALSE
serve,36,2,3,2,FALSE
remember,36,2,1,1,FALSE
watch,36,2,0,0,FALSE
feast,36,2,1,1,FALSE
philip,36,2,0,0,FALSE
gathered,36,2,2,1,FALSE
crucified,36,2,0,0,FALSE
loud,36,2,0,0,FALSE
ahead,35,2,0,0,FALSE
today,35,2,1,1,FALSE
pay,35,2,1,1,FALSE
taught,35,2,3,2,FALSE
sitting,35,2,0,0,FALSE
chosen,35,2,1,1,FALSE
flesh,35,2,1,1,FALSE
share,35,2,0,0,FALSE
consider,35,2,2,1,FALSE
churches,35,2,0,0,FALSE
side,34,2,5,3,FALSE
sign,34,2,0,0,FALSE
thousand,34,2,4,2,FALSE
thing,34,2,4,2,FALSE
slave,34,2,0,0,FALSE
barnabas,34,2,0,0,FALSE
boast,34,2,0,0,FALSE
birth,33,2,6,4,FALSE
stayed,33,2,0,0,FALSE
desert,33,2,1,1,FALSE
alone,33,2,17,11,FALSE
demon,33,2,0,0,FALSE
part,33,2,3,2,FALSE
door,33,2,0,0,FALSE
FALSE,33,2,2,1,FALSE
spirits,33,2,4,2,FALSE
guard,33,2,0,0,FALSE
eating,33,2,0,0,FALSE
sit,33,2,1,1,FALSE
prayer,33,2,1,1,FALSE
self,33,2,105,65,FALSE
covenant,33,2,0,0,FALSE
scripture,33,2,3,2,FALSE
saul,33,2,0,0,FALSE
country,32,2,0,0,FALSE
preaching,32,2,0,0,FALSE
deeds,32,2,3,2,FALSE
eye,32,2,7,4,FALSE
forgive,32,2,0,0,FALSE
bear,32,2,2,1,FALSE
kings,32,2,1,1,FALSE
loves,32,2,2,1,FALSE
talking,32,2,0,0,FALSE
wanted,32,2,0,0,FALSE
belong,32,2,1,1,FALSE
however,32,2,3,2,FALSE
gifts,31,2,3,2,FALSE
fulfilled,31,2,2,1,FALSE
wrath,31,2,4,2,FALSE
cut,31,2,0,0,FALSE
greet,31,2,0,0,FALSE
field,31,2,1,1,FALSE
fish,31,2,0,0,FALSE
wise,31,2,29,18,FALSE
soldiers,31,2,5,3,FALSE
cross,31,2,2,1,FALSE
arrived,31,2,0,0,FALSE
walk,31,2,0,0,FALSE
sake,31,2,14,9,FALSE
cup,31,2,0,0,FALSE
ordered,31,2,0,0,FALSE
testify,31,2,0,0,FALSE
weak,31,2,1,1,FALSE
forever,31,2,3,2,FALSE
lived,30,2,1,1,FALSE
rejoice,30,2,2,1,FALSE
sun,30,2,14,9,FALSE
heavenly,30,2,3,2,FALSE
sinners,30,2,1,1,FALSE
parable,30,2,0,0,FALSE
far,30,2,2,1,FALSE
laid,30,2,0,0,FALSE
prepared,30,2,0,0,FALSE
passover,30,2,0,0,FALSE
presence,30,2,1,1,FALSE
spiritual,30,2,24,15,FALSE
amen,30,2,0,0,FALSE
gold,29,2,2,1,FALSE
tax,29,2,0,0,FALSE
destroy,29,2,5,3,FALSE
ate,29,2,0,0,FALSE
account,29,2,0,0,FALSE
sword,29,2,2,1,FALSE
elijah,29,2,0,0,FALSE
generation,29,2,0,0,FALSE
condemned,29,2,1,1,FALSE
strong,29,2,4,2,FALSE
age,29,2,5,3,FALSE
happen,29,2,1,1,FALSE
ten,29,2,2,1,FALSE
hard,29,2,1,1,FALSE
caesar,29,2,0,0,FALSE
handed,29,2,0,0,FALSE
poured,29,2,0,0,FALSE
desires,29,2,12,7,FALSE
wrong,29,2,5,3,FALSE
human,29,2,5,3,FALSE
circumcised,29,2,0,0,FALSE
promise,29,2,0,0,FALSE
forgiven,28,2,0,0,FALSE
o,28,2,123,76,FALSE
disciple,28,2,2,1,FALSE
daughter,28,2,0,0,FALSE
suffer,28,2,1,1,FALSE
bodies,28,2,3,2,FALSE
surely,28,2,4,2,FALSE
alive,28,2,0,0,FALSE
fact,28,2,2,1,FALSE
continue,28,2,0,0,FALSE
jacob,27,2,0,0,FALSE
egypt,27,2,0,0,FALSE
trying,27,2,1,1,FALSE
repent,27,2,0,0,FALSE
clear,27,2,0,0,FALSE
crowds,27,2,0,0,FALSE
pure,27,2,25,15,FALSE
rise,27,2,2,1,FALSE
miracles,27,2,0,0,FALSE
clean,27,2,1,1,FALSE
goes,27,2,4,2,FALSE
met,27,2,0,0,FALSE
appointed,27,2,0,0,FALSE
above,27,2,6,4,FALSE
upon,27,2,12,7,FALSE
read,27,2,0,0,FALSE
answer,27,2,0,0,FALSE
greetings,27,2,0,0,FALSE
please,27,2,6,4,FALSE
timothy,27,2,0,0,FALSE
stay,26,1,0,0,FALSE
nazareth,26,1,0,0,FALSE
tried,26,1,0,0,FALSE
suffering,26,1,2,1,FALSE
wants,26,1,0,0,FALSE
itself,26,1,10,6,FALSE
lay,26,1,0,0,FALSE
shouted,26,1,0,0,FALSE
witnesses,26,1,0,0,FALSE
wind,26,1,9,6,FALSE
bound,26,1,3,2,FALSE
vineyard,26,1,0,0,FALSE
held,26,1,0,0,FALSE
nation,26,1,0,0,FALSE
offered,26,1,4,2,FALSE
passed,26,1,0,0,FALSE
purpose,26,1,4,2,FALSE
learned,25,1,1,1,FALSE
region,25,1,0,0,FALSE
throw,25,1,0,0,FALSE
offer,25,1,4,2,FALSE
adultery,25,1,0,0,FALSE
willing,25,1,2,1,FALSE
firm,25,1,5,3,FALSE
ears,25,1,0,0,FALSE
friend,25,1,14,9,FALSE
sound,25,1,1,1,FALSE
speaks,25,1,0,0,FALSE
hundred,25,1,2,1,FALSE
broke,25,1,0,0,FALSE
yours,25,1,0,0,FALSE
tribe,25,1,0,0,FALSE
ourselves,25,1,0,0,FALSE
spread,24,1,2,1,FALSE
possessed,24,1,0,0,FALSE
reward,24,1,6,4,FALSE
altar,24,1,1,1,FALSE
white,24,1,2,1,FALSE
room,24,1,0,0,FALSE
use,24,1,2,1,FALSE
reached,24,1,8,5,FALSE
harvest,24,1,0,0,FALSE
none,24,1,7,4,FALSE
creation,24,1,9,6,FALSE
telling,24,1,0,0,FALSE
young,24,1,0,0,FALSE
indeed,24,1,6,4,FALSE
courts,24,1,0,0,FALSE
destroyed,24,1,2,1,FALSE
prayed,24,1,0,0,FALSE
book,24,1,18,11,FALSE
savior,24,1,0,0,FALSE
conscience,24,1,0,0,FALSE
pleased,23,1,0,0,FALSE
hungry,23,1,0,0,FALSE
test,23,1,1,1,FALSE
leaving,23,1,1,1,FALSE
synagogues,23,1,0,0,FALSE
kinds,23,1,2,1,FALSE
hidden,23,1,0,0,FALSE
enemies,23,1,4,2,FALSE
bad,23,1,2,1,FALSE
touched,23,1,0,0,FALSE
following,23,1,1,1,FALSE
sacrifice,23,1,48,30,FALSE
parents,23,1,1,1,FALSE
divided,23,1,0,0,FALSE
sir,23,1,0,0,FALSE
unclean,23,1,1,1,FALSE
table,23,1,0,0,FALSE
seized,23,1,0,0,FALSE
declared,23,1,1,1,FALSE
sacrifices,23,1,4,2,FALSE
believes,23,1,1,1,FALSE
stop,23,1,0,0,FALSE
complete,23,1,1,1,FALSE
macedonia,23,1,0,0,FALSE
ship,23,1,1,1,FALSE
commanded,22,1,3,2,FALSE
rulers,22,1,4,2,FALSE
ruler,22,1,4,2,FALSE
isaiah,22,1,0,0,FALSE
carry,22,1,1,1,FALSE
mountain,22,1,0,0,FALSE
throughout,22,1,0,0,FALSE
letter,22,1,2,1,FALSE
perfect,22,1,7,4,FALSE
small,22,1,2,1,FALSE
drive,22,1,1,1,FALSE
foolish,22,1,0,0,FALSE
centurion,22,1,0,0,FALSE
astonished,22,1,0,0,FALSE
rebuked,22,1,0,0,FALSE
accept,22,1,2,1,FALSE
heads,22,1,2,1,FALSE
loaves,22,1,0,0,FALSE
sky,22,1,4,2,FALSE
invited,22,1,0,0,FALSE
finally,22,1,1,1,FALSE
calls,22,1,0,0,FALSE
result,22,1,6,4,FALSE
family,22,1,5,3,FALSE
tongue,22,1,0,0,FALSE
tongues,22,1,0,0,FALSE
ministry,22,1,0,0,FALSE
jewish,22,1,0,0,FALSE
jew,22,1,0,0,FALSE
slaves,22,1,2,1,FALSE
isaac,21,1,0,0,FALSE
during,21,1,1,1,FALSE
worshiped,21,1,0,0,FALSE
calling,21,1,0,0,FALSE
hair,21,1,2,1,FALSE
glad,21,1,1,1,FALSE
taking,21,1,1,1,FALSE
oath,21,1,0,0,FALSE
person,21,1,2,1,FALSE
dressed,21,1,0,0,FALSE
enough,21,1,1,1,FALSE
few,21,1,1,1,FALSE
built,21,1,0,0,FALSE
heal,21,1,0,0,FALSE
evening,21,1,1,1,FALSE
hearing,21,1,1,1,FALSE
asleep,21,1,0,0,FALSE
village,21,1,0,0,FALSE
household,21,1,0,0,FALSE
ones,21,1,4,2,FALSE
wicked,21,1,2,1,FALSE
threw,21,1,0,0,FALSE
immorality,21,1,0,0,FALSE
aside,21,1,0,0,FALSE
between,21,1,27,17,FALSE
visit,21,1,0,0,FALSE
struck,21,1,0,0,FALSE
mark,21,1,0,0,FALSE
thought,21,1,10,6,FALSE
ashamed,21,1,0,0,FALSE
wrote,21,1,0,0,FALSE
really,21,1,4,2,FALSE
prayers,21,1,1,1,FALSE
justified,21,1,0,0,FALSE
believers,21,1,0,0,FALSE
antioch,21,1,0,0,FALSE
silas,21,1,0,0,FALSE
urge,21,1,0,0,FALSE
apostle,21,1,1,1,FALSE
repentance,20,1,1,1,FALSE
ago,20,1,0,0,FALSE
front,20,1,1,1,FALSE
causes,20,1,3,2,FALSE
lose,20,1,5,3,FALSE
road,20,1,1,1,FALSE
finished,20,1,0,0,FALSE
places,20,1,0,0,FALSE
pass,20,1,1,1,FALSE
begged,20,1,0,0,FALSE
reported,20,1,0,0,FALSE
talk,20,1,2,1,FALSE
return,20,1,10,6,FALSE
toward,20,1,0,0,FALSE
makes,20,1,2,1,FALSE
sexual,20,1,1,1,FALSE
bringing,20,1,0,0,FALSE
morning,20,1,1,1,FALSE
used,20,1,1,1,FALSE
marry,20,1,0,0,FALSE
placed,20,1,0,0,FALSE
glorious,20,1,2,1,FALSE
baptism,20,1,0,0,FALSE
scriptures,20,1,21,13,FALSE
governor,20,1,0,0,FALSE
care,20,1,2,1,FALSE
praying,20,1,0,0,FALSE
year,20,1,0,0,FALSE
service,20,1,3,2,FALSE
case,20,1,1,1,FALSE
minds,20,1,12,7,FALSE
commander,20,1,1,1,FALSE
married,19,1,0,0,FALSE
forty,19,1,0,0,FALSE
sanhedrin,19,1,0,0,FALSE
committed,19,1,0,0,FALSE
trouble,19,1,0,0,FALSE
hears,19,1,2,1,FALSE
mine,19,1,7,4,FALSE
ran,19,1,0,0,FALSE
knowing,19,1,10,6,FALSE
girl,19,1,0,0,FALSE
ear,19,1,1,1,FALSE
soul,19,1,14,9,FALSE
sold,19,1,0,0,FALSE
companions,19,1,0,0,FALSE
broken,19,1,0,0,FALSE
cried,19,1,0,0,FALSE
caesarea,19,1,0,0,FALSE
build,19,1,0,0,FALSE
cloud,19,1,1,1,FALSE
matter,19,1,13,8,FALSE
favor,19,1,0,0,FALSE
respect,19,1,1,1,FALSE
inheritance,19,1,0,0,FALSE
entrusted,19,1,0,0,FALSE
certain,19,1,0,0,FALSE
suffered,19,1,0,0,FALSE
thinking,19,1,3,2,FALSE
chains,19,1,2,1,FALSE
ways,19,1,2,1,FALSE
works,19,1,1,1,FALSE
circumcision,19,1,0,0,FALSE
asia,19,1,0,0,FALSE
province,19,1,0,0,FALSE
persecuted,18,1,0,0,FALSE
commands,18,1,2,1,FALSE
asks,18,1,0,0,FALSE
lead,18,1,7,4,FALSE
judged,18,1,0,0,FALSE
pieces,18,1,0,0,FALSE
gate,18,1,0,0,FALSE
beat,18,1,1,1,FALSE
carried,18,1,4,2,FALSE
desire,18,1,43,27,FALSE
making,18,1,0,0,FALSE
behind,18,1,1,1,FALSE
lost,18,1,11,7,FALSE
fine,18,1,1,1,FALSE
gather,18,1,0,0,FALSE
sown,18,1,0,0,FALSE
short,18,1,0,0,FALSE
